t_s,ocupacao
0.0009602000063750893,0
0.05132250000315253,18
0.10182450000138488,11
0.1520474999997532,0
0.20232810000015888,0
0.25291599999764003,0
0.3038585000031162,0
0.3543208000046434,0
0.40501810000569094,0
0.45530329999746755,10
0.5058716000057757,0
0.5563164000050165,0
0.606636399999843,0
0.6568572999967728,0
0.7071619000053033,0
0.7575963999988744,0
0.8079857999982778,21
0.8581478999985848,16
0.9087975000002189,0
0.959061000001384,0
1.0093401000049198,0
1.0596603000012692,0
1.1101305000047432,0
1.1604288000089582,0
1.2108768000034615,0
1.2616397000092547,0
1.3124032000050647,0
1.362641600004281,0
1.4134735999978147,0
1.464289600000484,0
1.514979100000346,0
1.5653804000030505,5
1.6159257999970578,0
1.6665530000027502,0
1.7169590999983484,0
1.7674434000073234,0
1.8176285000081407,0
1.8679966000054264,0
1.9182026000053156,0
1.9686822000076063,0
2.019400899996981,1
2.070020099999965,0
2.120822600001702,0
2.171374500001548,0
2.22185790000367,1
2.272606700003962,0
2.3234427999996115,0
2.3741623000096297,1
2.424556300000404,0
2.474883900009445,0
2.5253145000024233,0
2.575715200000559,0
2.625911000010092,0
2.676140800002031,0
2.72635270000319,0
2.776836100005312,2
2.8272249000001466,0
2.877376500007813,0
2.927885099998093,0
2.978327899996657,0
3.0289408000098774,0
3.0791075000015553,0
3.129454399997485,0
3.180067000008421,0
3.2306001000106335,0
3.281125300010899,0
3.3314680000039516,0
3.381845700001577,0
3.43227650001063,0
3.4827952000050573,9
3.533302299998468,20
3.5836774000053992,0
3.634219200001098,0
3.685169999997015,0
3.7359918000001926,0
3.7867050000058953,11
3.836813900008565,17
3.887584700001753,0
3.9378701000096044,0
3.988334699999541,0
4.038658400007989,0
4.08912620000774,0
4.139680200009025,0
4.189787299997988,0
4.240293900002143,1
4.290818399997079,0
4.341183099997579,0
4.391646900010528,0
4.4421607999975095,0
4.4926407000020845,0
4.54307620000327,7
4.593680100006168,0
4.643779899997753,0
4.694195900010527,0
4.74453190001077,0
4.7947128000087105,0
4.845604200003436,0
4.896094199997606,0
4.946726900001522,0
4.997101800006931,0
5.0477987000049325,0
5.098215400008485,7
5.148653500000364,0
5.198956400010502,0
5.249584700010018,0
5.300137900005211,0
5.350665600009961,0
5.40114880001056,0
5.451705200001015,6
5.502044399996521,0
5.552660700006527,0
5.602952800007188,0
5.653506200003903,0
5.7037105000054,0
5.754486300007557,0
5.8052727000031155,7
5.856052500006626,0
5.906496600000537,0
5.956944700010354,0
6.007397599998512,0
6.057526400007191,0
6.108214599997154,3
6.158544600009918,25
6.209169900001143,0
6.259485500006122,0
6.31015990000742,0
6.360695199997281,0
6.411561200002325,0
6.462243000001763,13
6.51258080000116,0
6.5628503000043565,0
6.613072799998918,0
6.663263900001766,0
6.713890099999844,0
6.764563899996574,0
6.814947000006214,0
6.865749999997206,0
6.916498999999021,6
6.966890700001386,0
7.017577100006747,0
7.0679663000046276,0
7.118118099999265,0
7.168680500006303,0
7.219038399998681,0
7.2693683999968925,0
7.3198873000073945,1
7.370184300001711,0
7.420644400001038,0
7.470947200010414,0
7.5213692000106676,0
7.572122900004615,0
7.622569200000726,1
7.673311699996702,0
7.7237621000094805,0
7.774277400007122,0
7.824682400008896,0
7.87537720000546,1
7.926098199997796,0
7.976477400006843,0
8.026845700005651,0
8.076922000007471,0
8.12775959999999,0
8.17808860000514,0
8.22883200000797,0
8.279410100003588,0
8.330115000004298,0
8.380935100009083,2
8.431683400005568,0
8.482029500009958,0
8.532263100001728,0
8.582631099998252,0
8.633301200010465,0
8.683446399998502,0
8.734103100010543,0
8.78495460000704,0
8.835662900004536,11
8.886054300004616,0
8.936433199996827,0
8.98679880000418,0
9.037177200007136,0
9.087604600004852,0
9.13787580000644,0
9.188264099997468,0
9.238521200008108,2
9.289131900004577,2
9.339727300000959,0
9.390515600010986,0
9.44089630000235,0
9.491675900004338,2
9.542042100001709,0
9.5924001000094,1
9.642638000004808,0
9.693174300002283,0
9.743721300008474,0
9.794156900010421,0
9.844602500001201,0
9.894830700010061,0
9.945533600010094,0
9.995966300004511,7
10.046315500003402,0
10.096642000004067,0
10.146993400005158,0
10.197400999997626,0
10.248151899999357,0
10.298490000001038,8
10.348633500005235,0
10.399168400006602,0
10.4495886000077,0
10.500379500008421,0
10.550836599999457,0
10.601154500007397,0
10.651311200010241,0
10.701949700000114,0
10.752570700002252,1
10.803094100003364,0
10.853474900010042,0
10.903897900003358,0
10.954454200007604,0
11.0049832000077,0
11.055437900009565,0
11.105653300008271,0
11.15618240000913,0
11.206686899997294,4
11.25705790000211,18
11.307459100004053,0
11.357796700001927,0
11.408073200000217,0
11.458711300001596,0
11.509222699998645,0
11.559491899999557,10
11.60987450000539,0
11.660687199997483,0
11.711236000002827,0
11.76161129999673,0
11.812005700005102,0
11.862522700001136,0
11.913356000004569,0
11.963765599997714,0
12.014466799999354,11
12.06483040000603,0
12.115528800000902,0
12.16634840000188,0
12.21675459999824,0
12.267114200003562,0
12.317440700004227,0
12.367717700006324,0
12.418390600010753,0
12.46874100000423,0
12.519230000005336,0
12.569586500001606,0
12.62036359999911,0
12.670659499999601,0
12.721226100009517,0
12.771989300003042,3
12.822343699997873,0
12.872625999996671,0
12.923007300007157,0
12.97329210001044,0
13.023639699997148,0
13.073978700005682,0
13.124394700003904,0
13.175146100009442,4
13.225525300003937,23
13.275753699999768,3
13.326219700000365,0
13.37659870000789,0
13.426668900006916,0
13.477149800004554,0
13.527510300002177,2
13.57802410000295,7
13.628528400004143,0
13.679182100007893,0
13.729264699999476,0
13.77989869999874,0
13.830162700003712,0
13.880781900006696,0
13.931136900006095,8
13.981786300006206,12
14.032194800005527,0
14.082515000001877,0
14.133247400008258,0
14.183755700010806,1
14.234462200009148,0
14.285329500009539,0
14.335672700006398,0
14.386405500001274,7
14.436839700007113,0
14.487294000005932,0
14.538237800006755,2
14.588699100000667,0
14.63931670000602,0
14.68987560000096,0
14.740809100010665,0
14.790879499996663,0
14.84175010000763,0
14.892131500004325,0
14.942541299998993,0
14.99286490000668,0
15.043578400000115,0
15.09396569999808,0
15.144519599998603,0
15.195177800007514,0
15.245384499998181,0
15.29583360000106,0
15.346607900006347,0
15.39744349999819,1
15.447669000001042,0
15.498256899998523,0
15.548512000008486,0
15.598557600009372,0
15.649292400004924,0
15.699868900002912,0
15.750229500001296,0
15.80055739999807,0
15.850839400009136,0
15.901201700005913,0
15.951656899997033,0
16.00196190000861,7
16.05261369999789,0
16.10303019999992,0
16.153430100006517,0
16.20398489999934,0
16.254812400002265,0
16.305561700006365,0
16.355985700007295,0
16.406709200004116,0
16.457332400008454,0
16.50783680001041,0
16.55844180000713,0
16.60880129999714,0
16.659199800007627,0
16.70994040000369,0
16.760734000010416,0
16.81109160000051,0
16.861626500001876,16
16.91186700000253,0
16.96224130000337,0
17.012623900009203,0
17.063262499999837,0
17.113412899998366,0
17.16362289999961,0
17.214609200003906,0
17.264981900007115,0
17.315536299996893,0
17.365880299999844,0
17.41622159999679,0
17.466788100005942,0
17.517052000010153,0
17.567330799996853,0
17.617954800007283,0
17.668068300001323,0
17.718658600002527,0
17.76906950000557,0
17.81942660000641,0
17.869566300010774,0
17.919724599996698,0
17.970172000001185,0
18.020971999998437,0
18.071522700003698,0
18.121878200006904,0
18.17225309999776,0
18.222615600010613,0
18.273069600007148,0
18.32359670000733,2
18.373893600000883,18
18.4245241000026,0
18.47489179999684,0
18.52573750000738,0
18.576200199997402,0
18.62665440001001,0
18.67680780000228,0
18.727201100002276,0
18.777551000006497,8
18.82803440000862,0
18.878396500003873,0
18.928555999998935,0
18.978760500001954,0
19.029022400005488,0
19.079162100009853,0
19.129694700008258,0
19.180283900001086,0
19.231130100000883,2
19.281482899998082,0
19.331875300005777,0
19.382441699999617,0
19.433276900002966,1
19.48358640000515,0
19.53437120000308,0
19.585075800001505,0
19.63604280000436,0
19.686360899999272,0
19.736768100003246,0
19.787064300006023,2
19.837663300000713,19
19.88788700000441,0
19.938078300008783,0
19.98869399999967,0
20.039138200008892,0
20.08983540000918,0
20.140354200004367,1
